epoch,train_loss,valid_loss,accuracy,time
0,1.0758455991744995,1.0664831399917603,0.7334374785423279,6:58:33
1,0.6890190243721008,0.6956681609153748,0.7941229939460754,6:55:09
2,0.6038525104522705,0.5913000106811523,0.8169354796409607,6:40:09
3,0.5523731112480164,0.586211621761322,0.8168145418167114,6:40:06
4,0.5366502404212952,0.5733581781387329,0.8164818286895752,6:40:04
5,0.5827081799507141,0.5518007874488831,0.8245766162872314,6:40:14
6,0.4920547604560852,0.5396890640258789,0.8307661414146423,6:41:02
7,0.5202038288116455,0.5491704344749451,0.8277923464775085,6:41:30
8,0.4873640537261963,0.5390773415565491,0.8293145298957825,6:35:27
9,0.508232057094574,0.54316645860672,0.8266633152961731,6:40:29
10,0.49767008423805237,0.5335394144058228,0.8313608765602112,6:40:23
11,0.4981337785720825,0.5234952569007874,0.8347782492637634,6:39:56
12,0.48992088437080383,0.5144029259681702,0.8371068835258484,6:40:35
13,0.45277100801467896,0.5145910382270813,0.8370967507362366,6:40:03
14,0.4680890440940857,0.501483678817749,0.8416633009910583,6:40:22
15,0.4428578317165375,0.5060838460922241,0.8403629064559937,6:40:14
16,0.45208483934402466,0.5046923756599426,0.8408266305923462,6:40:45
17,0.5072013735771179,0.5282440185546875,0.8324395418167114,6:51:59
18,0.48813125491142273,0.5083632469177246,0.8391028046607971,7:10:15
19,0.45871222019195557,0.49284377694129944,0.84380042552948,7:08:40
